second,Volt
-0.00105006674375,-0.472379
-0.00104901674375,-0.472379
-0.00104796674375,-0.472379
-0.00104691674375,-0.472379
-0.00104586674375,-0.472379
-0.00104481674375,-0.489264
-0.00104376674375,-0.472379
-0.00104271674375,-0.472379
-0.00104166674375,-0.472379
-0.00104061674375,-0.489264
-0.00103956674375,-0.489264
-0.00103851674375,-0.489264
-0.00103746674375,-0.489264
-0.00103641674375,-0.489264
-0.00103536674375,-0.489264
-0.00103431674375,-0.489264
-0.00103326674375,-0.506148
-0.00103221674375,-0.506148
-0.00103116674375,-0.506148
-0.00103011674375,-0.506148
-0.00102906674375,-0.506148
-0.00102801674375,-0.523033
-0.00102696674375,-0.523033
-0.00102591674375,-0.523033
-0.00102486674375,-0.539917
-0.00102381674375,-0.523033
-0.00102276674375,-0.539917
-0.00102171674375,-0.539917
-0.00102066674375,-0.539917
-0.00101961674375,-0.539917
-0.00101856674375,-0.539917
-0.00101751674375,-0.539917
-0.00101646674375,-0.556801
-0.00101541674375,-0.539917
-0.00101436674375,-0.556801
-0.00101331674375,-0.539917
-0.00101226674375,-0.556801
-0.00101121674375,-0.556801
-0.00101016674375,-0.539917
-0.00100911674375,-0.556801
-0.00100806674375,-0.556801
-0.00100701674375,-0.556801
-0.00100596674375,-0.573686
-0.00100491674375,-0.573686
-0.00100386674375,-0.59057
-0.00100281674375,-0.59057
-0.00100176674375,-0.573686
-0.00100071674375,-0.59057
-0.00099966674375,-0.59057
-0.00099861674375,-0.59057
-0.00099756674375,-0.59057
-0.00099651674375,-0.59057
-0.00099546674375,-0.607455
-0.00099441674375,-0.607455
-0.00099336674375,-0.607455
-0.00099231674375,-0.607455
-0.00099126674375,-0.607455
-0.00099021674375,-0.624339
-0.00098916674375,-0.607455
-0.00098811674375,-0.607455
-0.00098706674375,-0.607455
-0.00098601674375,-0.607455
-0.00098496674375,-0.624339
-0.00098391674375,-0.624339
-0.00098286674375,-0.624339
-0.00098181674375,-0.624339
-0.00098076674375,-0.624339
-0.00097971674375,-0.624339
-0.00097866674375,-0.641224
-0.00097761674375,-0.641224
-0.00097656674375,-0.641224
-0.00097551674375,-0.641224
-0.00097446674375,-0.658108
-0.00097341674375,-0.658108
-0.00097236674375,-0.658108
-0.00097131674375,-0.658108
-0.00097026674375,-0.658108
-0.00096921674375,-0.658108
-0.00096816674375,-0.658108
-0.00096711674375,-0.674992
-0.00096606674375,-0.674992
-0.00096501674375,-0.674992
-0.00096396674375,-0.674992
-0.00096291674375,-0.674992
-0.00096186674375,-0.674992
-0.00096081674375,-0.674992
-0.00095976674375,-0.674992
-0.00095871674375,-0.691877
-0.00095766674375,-0.691877
-0.00095661674375,-0.691877
-0.00095556674375,-0.691877
-0.00095451674375,-0.691877
-0.00095346674375,-0.708761
-0.00095241674375,-0.691877
-0.00095136674375,-0.691877
-0.00095031674375,-0.708761
-0.00094926674375,-0.708761
-0.00094821674375,-0.708761
-0.00094716674375,-0.708761
-0.00094611674375,-0.708761
-0.00094506674375,-0.708761
-0.00094401674375,-0.708761
-0.00094296674375,-0.708761
-0.00094191674375,-0.725646
-0.00094086674375,-0.725646
-0.00093981674375,-0.725646
-0.00093876674375,-0.725646
-0.00093771674375,-0.725646
-0.00093666674375,-0.725646
-0.00093561674375,-0.725646
-0.00093456674375,-0.74253
-0.00093351674375,-0.74253
-0.00093246674375,-0.74253
-0.00093141674375,-0.74253
-0.00093036674375,-0.74253
-0.00092931674375,-0.74253
-0.00092826674375,-0.759415
-0.00092721674375,-0.759415
-0.00092616674375,-0.74253
-0.00092511674375,-0.74253
-0.00092406674375,-0.759415
-0.00092301674375,-0.759415
-0.00092196674375,-0.759415
-0.00092091674375,-0.759415
-0.00091986674375,-0.759415
-0.00091881674375,-0.759415
-0.00091776674375,-0.776299
-0.00091671674375,-0.759415
-0.00091566674375,-0.776299
-0.00091461674375,-0.776299
-0.00091356674375,-0.759415
-0.00091251674375,-0.776299
-0.00091146674375,-0.776299
-0.00091041674375,-0.793183
-0.00090936674375,-0.793183
-0.00090831674375,-0.793183
-0.00090726674375,-0.793183
-0.00090621674375,-0.793183
-0.00090516674375,-0.793183
-0.00090411674375,-0.810068
-0.00090306674375,-0.810068
-0.00090201674375,-0.810068
-0.00090096674375,-0.793183
-0.00089991674375,-0.810068
-0.00089886674375,-0.810068
-0.00089781674375,-0.826952
-0.00089676674375,-0.810068
-0.00089571674375,-0.810068
-0.00089466674375,-0.810068
-0.00089361674375,-0.826952
-0.00089256674375,-0.810068
-0.00089151674375,-0.810068
-0.00089046674375,-0.826952
-0.00088941674375,-0.826952
-0.00088836674375,-0.826952
-0.00088731674375,-0.826952
-0.00088626674375,-0.826952
-0.00088521674375,-0.826952
-0.00088416674375,-0.826952
-0.00088311674375,-0.826952
-0.00088206674375,-0.843837
-0.00088101674375,-0.826952
-0.00087996674375,-0.843837
-0.00087891674375,-0.843837
-0.00087786674375,-0.843837
-0.00087681674375,-0.860721
-0.00087576674375,-0.843837
-0.00087471674375,-0.860721
-0.00087366674375,-0.860721
-0.00087261674375,-0.860721
-0.00087156674375,-0.860721
-0.00087051674375,-0.860721
-0.00086946674375,-0.860721
-0.00086841674375,-0.860721
-0.00086736674375,-0.860721
-0.00086631674375,-0.860721
-0.00086526674375,-0.860721
-0.00086421674375,-0.860721
-0.00086316674375,-0.860721
-0.00086211674375,-0.877605
-0.00086106674375,-0.877605
-0.00086001674375,-0.877605
-0.00085896674375,-0.877605
-0.00085791674375,-0.877605
-0.00085686674375,-0.89449
-0.00085581674375,-0.877605
